Country,FechasF,AD,Years,Montds,Days
Malawi,1964-07-06,2022-05-23,57,694,21140
Malaysia,1957-08-31,2022-05-23,64,776,23641
Maldives,1965-07-26,2022-05-23,56,681,20755
Mali,1960-09-22,2022-05-23,61,740,22523
Malta,1964-09-21,2022-05-23,57,692,21063
Marshall Islands,1979-05-01,2022-05-23,43,516,15728
Mauritania,1960-11-28,2022-05-23,61,737,22456
Mauritius,1968-03-12,2022-05-23,54,650,19795
Mexico,1810-09-16,2022-05-23,211,2540,77316
Micronesia,1986-11-03,2022-05-23,35,426,12985
Moldova,1991-08-27,2022-05-23,30,368,11227
Mongolia,1911-12-29,2022-05-23,110,1324,40323
Montenegro,2006-05-21,2022-05-23,16,192,5846
Morocco,1944-01-11,2022-05-23,78,940,28622
Morocco,1955-11-18,2022-05-23,66,798,24293
Mozambique,1975-06-25,2022-05-23,46,562,17134
Myanmar,1948-01-04,2022-05-23,74,892,27168
Namibia,1990-03-21,2022-05-23,32,386,11751
Nauru,1968-01-31,2022-05-23,54,651,19836
Netherlands,1581-07-26,2022-05-23,440,5289,161008
Nicaragua,1821-09-15,2022-05-23,200,2408,73299
Niger,1960-08-03,2022-05-23,61,741,22573
Nigeria,1960-10-01,2022-05-23,61,739,22514
North Macedonia,1991-09-08,2022-05-23,30,368,11215
Norway,1814-05-17,2022-05-23,208,2496,75977
Norway,1905-06-07,2022-05-23,116,1403,42719
Oman,1650-11-18,2022-05-23,371,4458,135691
Pakistan,1947-08-14,2022-05-23,74,897,27311
Palestine,1988-11-15,2022-05-23,33,402,12242
Panama,1821-11-28,2022-05-23,200,2405,73225
Panama,1903-11-03,2022-05-23,118,1422,43301
Papua New Guinea,1975-09-16,2022-05-23,46,560,17051
Peru,1821-07-28,2022-05-23,200,2409,73348
Philippines,1898-06-12,2022-05-23,123,1487,45270
Philippines,1946-07-04,2022-05-23,75,910,27717
Poland,1918-11-11,2022-05-23,103,1242,37814
Portugal,1640-12-01,2022-05-23,381,4577,139330
Qatar,1878-12-18,2022-05-23,143,1721,52386
Qatar,1971-12-18,2022-05-23,50,605,18419
Queensland,1859-12-10,2022-05-23,162,1949,59334
Romania,1877-05-09,2022-05-23,145,1740,52974
Russia,1992-06-12,2022-05-23,29,359,10937
Rwanda,1962-07-01,2022-05-23,59,718,21876
Saint Kitts and Nevis,1983-09-19,2022-05-23,38,464,14126
Saint Lucia,1979-02-22,2022-05-23,43,519,15796
Saint Vincent and the Grenadines,1979-10-27,2022-05-23,42,510,15549
Samoa,1962-06-01,2022-05-23,59,719,21906
SÃ£o TomÃ© and PrÃ­ncipe,1975-07-12,2022-05-23,46,562,17117
Saudi Arabia,1932-09-23,2022-05-23,89,1076,32749
Senegal,1960-04-04,2022-05-23,62,745,22694
Serbia,1804-02-15,2022-05-23,218,2619,79721
Seychelles,1976-06-29,2022-05-23,45,550,16764
Sierra Leone,1961-04-27,2022-05-23,61,732,22306
Singapore,1965-08-09,2022-05-23,56,681,20741
Slovakia,1992-07-17,2022-05-23,29,358,10902
Solomon Islands,1978-07-07,2022-05-23,43,526,16026
Somalia,1960-07-01,2022-05-23,61,742,22606
Somaliland,1991-05-18,2022-05-23,31,372,11328
South Africa,1931-12-11,2022-05-23,90,1085,33036
South Sudan,2011-07-09,2022-05-23,10,130,3971
Spain,1492-10-12,2022-05-23,529,6355,193436
Sri Lanka,1948-02-04,2022-05-23,74,891,27137
Sudan,1956-01-01,2022-05-23,66,796,24249
Suriname,1975-11-25,2022-05-23,46,557,16981
Sweden,1905-06-06,2022-05-23,116,1403,42720
"",1291-08-01,2022-05-23,730,8769,266922
Syria,1946-04-17,2022-05-23,76,913,27795
Tajikistan,1991-09-09,2022-05-23,30,368,11214
Tanzania,1961-12-09,2022-05-23,60,725,22080
Togo,1960-04-27,2022-05-23,62,744,22671
Tonga,1970-06-04,2022-05-23,51,623,18981
Trinidad and Tobago,1962-08-31,2022-05-23,59,716,21815
Tunisia,1956-03-20,2022-05-23,66,794,24170
Turkey,1923-10-29,2022-05-23,98,1182,36001
Turkmenistan,1991-09-27,2022-05-23,30,367,11196
Tuvalu,1978-10-01,2022-05-23,43,523,15940
Uganda,1962-10-09,2022-05-23,59,715,21776
Ukraine,1991-08-24,2022-05-23,30,368,11230
Ukraine,1919-01-22,2022-05-23,103,1240,37742
United Arab Emirates,1971-12-02,2022-05-23,50,605,18435
United States,1776-07-04,2022-05-23,245,2950,89807
Uruguay,1825-08-25,2022-05-23,196,2360,71859
Uzbekistan,1991-09-01,2022-05-23,30,368,11222
Vanuatu,1980-07-30,2022-05-23,41,501,15272
"",1929-02-11,2022-05-23,93,1119,34069
Venezuela,1811-07-05,2022-05-23,210,2530,77024
Vietnam,1945-09-02,2022-05-23,76,920,28022
Yemen,1967-11-30,2022-05-23,54,653,19898
Zambia,1964-10-24,2022-05-23,57,690,21030
Zimbabwe,1980-04-18,2022-05-23,42,505,15375
